serial_no,race,education,income,gender,age,relationship
0000117,47,12,047300,1,31,01
0000117,47,12,024300,2,25,02
0000117,47,00,,1,00,03
0000127,47,05,000000,1,22,01
0000127,47,10,022000,2,35,02
0000127,47,05,000000,1,19,05
0000127,47,07,005000,1,18,17
0000134,47,13,013000,2,23,01
0000195,47,10,000000,1,56,01
0000195,47,09,000000,2,56,02
0000218,47,09,021800,1,20,01
0000246,37,14,032000,2,26,01
0000410,47,13,056000,1,34,01
0000436,47,13,042000,1,46,01
0000436,47,14,070000,2,45,02
0000436,47,02,,1,10,03
0000483,47,09,000000,1,72,01
0000483,47,09,000000,2,73,02
0000574,37,13,024000,1,48,01
0000574,37,06,000000,2,16,03
0000574,37,06,000000,2,69,07
0000584,47,09,017000,2,40,01
0000584,47,08,007000,1,22,03
0000584,47,06,000000,2,17,03
0000584,47,04,000000,1,15,03
0000584,47,04,,2,14,03
0000591,37,09,000000,1,60,01
0000591,37,09,000000,2,58,02
0000591,37,09,000750,1,22,08
0000591,37,02,,2,10,08
0000609,47,12,148000,1,49,01
0000609,47,13,000000,2,47,02
0000609,47,09,001400,1,18,03
0000718,47,09,000000,2,83,01
0000764,47,11,000000,2,66,01
0000786,47,11,042000,1,52,01
0000786,47,09,026700,2,49,02
0000802,47,05,000000,1,88,01
0000802,47,04,000000,2,82,02
0001014,47,10,000000,2,66,01
0001033,47,09,031200,1,55,01
0001033,47,09,012400,2,56,02
0001086,37,01,000000,1,93,01
0001102,47,15,000000,1,53,01
0001102,47,13,024000,2,53,02
0001102,47,05,017000,1,23,03
0001193,37,08,001200,1,35,01
0001208,37,13,030000,2,49,01
0001208,37,09,006000,2,18,03
0001281,37,06,024000,1,44,01
0001281,37,09,023000,2,43,02
0001281,37,09,001800,1,20,03
0001281,37,05,000000,1,16,03
0001281,37,01,,1,04,03
0001350,47,09,014000,1,65,01
0001350,47,11,000000,1,42,03
0001427,47,02,009800,1,68,01
0001427,47,09,000000,2,60,02
0001611,47,11,025000,2,46,01
0001668,47,05,008000,1,81,01
0001668,47,04,000000,2,76,02
0001809,47,09,025000,1,30,01
