01,Some other race alone
02,Other Pacific Islander alone
03,Other Pacific Islander; Some other race
04,Samoan alone
05,Guamanian or Chamorro alone
06,Native Hawaiian alone
07,Other Asian alone
08,Other Asian; Some other race
09,Other Asian; Other Pacific Islander
10,Vietnamese alone
11,Korean alone
12,Japanese alone
13,Not used
14,Not used
15,Filipino alone
16,Filipino; Some other race
17,Filipino; Other Pacific Islander
18,Filipino; Native Hawaiian
19,Filipino; Japanese
20,Chinese alone
21,Chinese; Some other race
22,Chinese; Native Hawaiian
23,Chinese; Other Asian
24,Chinese; Vietamese
25,Chinese; Japanese
26,Chinese; Filipino
27,Not used
28,Asian Indian alone
29,Asian Indian; Some other race
30,Not used
31,Asian Indian; Other Asian
32,American Indian and Alaska Native alone
33,American Indian and Alaska Native; Some other race
34,Not used
35,Not used
36,American Indian and Alaska Native; Asian Indian
37,Black or African American alone
38,Black or African American; Some other race
39,Black or African American; Other Pacific Islander
40,Black or African American; Other Asian
41,Black or African American; Korean
42,Black or African American; Japanese
43,Black or African American; Filipino
44,Black or African American; Chinese
45,Black or African American; Asian Indian
46,Black or African American; American Indian and Alaska Native
47,White alone
48,White; Some other race
49,White; Other Pacific Islander
50,White; Samoan
51,White; Guamanian or Chamorro
52,White; Natve Hawaiian
53,White; Other Asian
54,Not used
55,White; Vietnamese
56,White; Korean
57,White; Japanese
58,Not used
59,White; Filipino
60,Not used
61,White; Filipino; Native Hawaiian
62,White; Chinese
63,White; Chinese; Native Hawaiian
64,Not used
65,White; Asian Indian
66,White; American Indian and Alaska Native
67,White; American Indian and Alaska Native; Some other race
68,White; Black or African American
69,White; Black or African American; Some other race
70,White; Black or African American; American Indian and Alaska Native
71,All other race combinations
