serial_no,race,education,income,gender,age,relationship
0000574,47,16,115000,1,43,01
0000574,47,16,025000,2,38,02
0000574,47,02,,2,06,03
0000591,47,09,016000,2,20,01
0000591,47,09,020000,1,24,17
0000740,47,09,000800,1,44,01
0000740,32,09,006000,2,38,02
0000740,47,04,000000,2,15,03
0000740,66,05,,2,14,03
0000740,66,04,,1,13,03
0000740,66,02,,1,10,03
0000786,32,09,002200,2,43,01
0000786,32,04,,2,13,03
0001086,47,09,000000,2,39,22
0001193,32,02,000000,1,83,01
0001193,32,02,000000,2,73,02
0001193,32,09,022000,1,34,03
0001193,32,06,000000,1,20,08
0001665,20,15,000000,1,49,01
0001665,47,14,060000,2,58,02
0001665,62,06,000000,1,17,03
0001665,62,05,000000,2,15,03
0001668,47,11,006000,2,21,23
0002518,47,09,053000,1,39,01
0002518,47,09,038700,2,34,02
0002518,47,02,,2,09,03
0002518,47,02,,1,06,03
0002518,47,09,022000,1,40,06
0002518,32,11,000000,2,60,07
0002619,32,12,000000,2,52,01
0002619,32,12,001500,1,52,15
0002619,32,09,000000,1,50,16
0002619,32,09,019100,1,30,16
0002619,32,11,010000,1,53,21
0002619,32,09,041500,1,32,21
0002795,32,10,035000,1,33,01
0002795,32,10,025000,2,33,02
0002795,32,02,,1,06,03
0002795,32,01,,1,03,03
0003970,32,09,006600,1,37,01
0003970,32,09,002300,2,48,19
0004370,47,13,013600,2,52,01
0004370,47,14,000000,1,60,02
0005688,47,09,020000,1,25,01
0005688,47,11,000000,2,22,02
0006299,47,10,011000,2,35,01
0006299,47,02,,2,07,03
0006317,32,09,007000,1,35,01
0006317,32,09,015800,2,25,02
0006317,32,02,,1,09,03
0006317,32,02,,2,09,03
0006317,32,02,,2,08,03
0006317,32,02,,1,06,03
0006317,32,02,,1,06,03
0006394,32,09,012000,2,52,01
0006394,32,07,000700,1,22,03
0006394,32,07,000500,1,17,03
0006673,32,10,029000,2,38,01
0006673,32,00,,2,01,04
0007689,47,11,008900,1,64,01
0008226,47,14,092000,1,31,01
0008226,47,14,000000,2,33,02
0008226,47,00,,1,02,03
0008226,47,00,,1,00,03
0009098,47,09,055000,1,41,01
0009098,47,12,126000,2,38,02
0009098,47,01,,2,06,03
0009805,47,14,050000,2,40,01
0009805,47,13,043000,1,43,02
0009805,47,00,,1,01,03
0009822,47,09,070000,2,53,01
0009822,66,02,,2,10,03
0010071,47,11,008000,2,49,01
0010640,47,10,020500,1,29,01
0010640,47,10,011700,2,29,02
