serial_no,race,education,income,gender,age,relationship
0000127,47,13,009000,1,34,23
0000574,48,01,040000,1,31,01
0000574,48,03,,2,10,03
0000574,48,01,,1,04,03
0000574,48,01,026000,1,35,12
0000574,48,01,012000,1,24,12
0000574,48,01,035000,1,30,16
0000574,48,01,026000,1,39,17
0000574,48,01,000000,1,38,17
0000574,48,01,005000,1,27,17
0000574,48,01,014400,1,26,19
0000591,47,09,001000,2,19,01
0000740,37,05,022200,1,39,01
0000740,47,09,000000,2,38,02
0000740,37,03,000000,1,60,06
0000786,37,09,008000,1,23,23
0000802,01,02,017000,2,64,01
0000802,01,01,000000,2,82,07
0001014,47,15,150000,1,41,01
0001086,47,09,013000,2,50,01
0001193,37,09,036700,1,57,01
0001193,37,09,053000,2,56,02
0001665,37,12,050000,1,44,01
0001665,37,10,067000,1,52,17
0001665,37,07,000000,2,51,17
0001665,47,14,038700,2,33,17
0001665,37,12,000000,2,20,17
0001668,47,09,094000,1,20,23
0002446,37,07,000000,2,48,01
0002518,47,16,065000,1,63,01
0002518,47,09,000000,2,52,06
0002619,47,14,043000,1,34,01
0002619,28,14,032000,2,40,02
0003970,47,11,000000,1,80,01
0003970,37,09,000000,2,70,02
0004370,28,09,017600,2,44,01
0004370,53,08,001300,1,53,02
0004370,47,04,,1,13,03
0004370,47,04,,2,12,03
0005688,47,15,032200,1,27,01
0006299,37,07,000000,1,54,01
0006317,48,13,027000,2,28,01
0006394,37,13,038000,2,27,01
0006673,37,14,050000,1,69,01
0007689,37,11,020000,2,32,01
0007689,37,01,,1,04,03
0007689,37,01,,1,03,03
0007849,37,06,005000,2,44,01
0007849,37,04,005000,2,25,03
0007849,37,04,000000,2,21,03
0007849,37,04,000000,2,19,03
0007849,37,02,,1,06,08
0007849,37,02,,1,06,08
0008226,37,08,000000,2,61,01
0008226,37,07,000000,1,76,02
0009098,37,09,000000,1,44,01
0009805,37,10,000000,2,80,01
0009822,38,09,028600,1,21,01
0009822,38,09,001200,1,16,06
0010071,37,09,000000,2,80,22
0010609,37,10,018000,1,45,01
0010640,47,14,000000,2,54,01
0010893,37,04,007300,2,66,01
0011331,37,09,018600,1,58,01
0011779,47,09,060000,2,50,01
0011779,47,09,000000,2,42,06
0011779,47,07,000000,1,19,13
0011779,47,03,,1,09,13
0012218,47,14,070000,2,46,01
0012218,47,10,000000,1,43,02
0012218,20,01,,2,03,04
0013374,37,09,000000,2,71,01
0013426,37,09,018000,2,39,01
0013426,37,09,017000,1,35,02
0013426,37,02,,1,08,03
0013685,37,13,000000,2,51,01
0013685,37,09,000000,1,52,02
0013778,47,16,090000,1,52,01
0014976,37,04,000000,2,58,01
0015480,01,01,022500,1,30,01
0015480,01,03,014000,2,27,02
0015480,01,02,,2,07,03
0016115,37,07,000000,1,31,01
0016935,15,13,014900,2,33,01
0016935,15,04,,1,12,03
0016935,59,00,,2,01,03
0017022,47,13,023000,2,24,01
0017063,47,01,000000,2,59,01
0017290,37,13,025000,2,47,01
0017290,37,09,007400,2,19,03
0017290,37,07,000000,2,17,03
0017734,37,04,,1,14,23
0018132,37,09,000000,2,60,01
0018132,37,09,000000,1,39,03
0018132,37,09,000000,1,42,17
0018132,37,09,000000,2,59,19
0018783,47,11,002200,2,21,23
0018848,47,14,022600,2,24,01
0019700,20,14,029000,1,29,01
0020115,37,09,000000,2,66,01
0020161,37,14,000000,2,82,01
0020974,47,15,000000,1,65,01
0020974,47,14,000000,2,50,02
0021123,37,16,080000,1,50,01
0022296,37,09,000000,2,47,01
0022296,37,09,000000,2,23,03
0022296,37,07,000000,1,16,03
0022296,37,06,000000,1,15,03
0022296,37,02,,1,04,03
0023691,32,04,000000,2,58,01
0023691,32,13,155000,1,56,02
0023728,37,11,050000,1,51,01
0023728,37,09,026000,2,51,02
0023728,37,09,000000,2,22,03
0023728,37,09,000000,1,18,03
0024247,01,13,028000,2,26,01
0024368,37,11,025000,1,44,01
0025009,47,13,033000,2,24,01
0025009,47,13,037000,2,22,18
0025146,37,06,343000,2,52,01
0025146,37,06,024900,1,67,02
0025185,47,13,134000,1,51,01
0025185,47,14,106000,2,52,02
0025185,47,07,000000,2,17,03
0025225,37,08,032000,2,51,01
0025225,37,12,028800,2,33,03
0025225,37,04,,2,12,08
0025225,37,02,,1,09,08
0025225,37,02,,2,08,08
0025278,07,10,000000,1,19,01
0025465,47,13,000000,1,50,01
0025601,37,07,000000,2,27,22
0025814,47,14,060000,1,32,01
0026483,47,08,052000,2,80,01
0026500,37,01,000000,1,80,01
0027367,37,09,022000,2,24,01
0027367,37,01,,1,03,03
0027367,37,09,015000,1,24,19
0028509,37,10,000000,2,64,01
0028509,37,13,034000,1,44,03
0028509,37,03,,2,12,08
0029069,01,16,085000,2,48,01
0029069,37,16,100000,1,49,02
0029069,37,07,000000,2,18,03
0029219,47,13,000000,1,21,23
0029243,37,09,000000,2,75,01
0029504,47,13,042000,1,42,01
0029504,47,13,060000,1,33,18
0029934,37,09,002000,2,53,01
0030138,37,09,000000,1,75,01
0030138,37,03,000000,1,70,21
0030138,37,04,048900,1,55,21
0030241,37,09,000000,2,73,01
0030241,37,09,003500,1,61,02
0030290,37,01,001500,1,36,01
0030290,38,09,017000,2,24,02
0031284,37,14,000000,2,66,01
0031477,37,11,000000,2,65,01
0031477,37,09,000000,1,61,02
0031477,37,01,000000,2,33,13
0031477,37,11,005500,2,44,16
0031477,37,07,000000,2,38,16
0032194,47,16,059000,2,29,01
0032194,47,14,006900,1,29,19
0032500,37,12,028000,1,43,01
0032500,37,09,000000,2,75,07
0033238,47,13,012100,1,31,01
0033238,47,14,040900,2,30,02
0033563,37,13,000000,1,29,23
0034315,47,14,100000,1,34,01
0034315,47,13,038700,2,31,19
0034789,37,09,000000,2,69,01
0034789,37,09,000000,1,36,03
0034934,37,08,000000,2,70,01
0035006,47,13,039000,2,28,01
0035006,47,13,030000,2,23,18
0035053,47,13,035000,2,24,01
0035236,47,14,073000,1,50,01
0035236,47,16,056000,1,30,17
0035236,47,14,078000,2,53,21
0035315,37,11,050000,1,50,01
0035315,37,08,008000,2,45,02
0035315,37,08,002900,2,21,03
0035315,37,11,028000,2,52,06
0035315,37,00,,1,00,08
0036271,37,09,000000,2,26,01
0036271,37,10,030000,1,27,02
0036271,37,02,,2,09,03
0036424,37,09,000000,1,59,01
0036455,47,11,004000,2,22,23
0038833,37,10,000000,2,24,01
0039935,47,14,025000,2,25,01
0040213,37,11,000000,2,82,01
0040912,47,03,000000,1,69,01
0040912,47,08,014000,2,71,02
0042214,37,05,000000,1,66,01
0042842,37,11,031000,2,34,01
0042842,37,02,,2,08,03
0042842,37,00,,1,01,03
0042842,37,00,,2,00,03
0043513,37,09,028500,1,29,01
0043513,37,10,000000,2,32,02
0043513,37,02,,1,06,03
0043513,37,01,,1,04,03
0043702,37,14,032000,1,35,01
0043702,37,13,046000,2,35,02
0043702,37,00,,2,01,03
0043903,37,09,002500,2,18,23
0043995,37,09,015700,2,26,01
0043995,37,02,,1,11,03
0043995,37,02,,1,09,03
0044184,37,09,005700,2,24,01
0044184,37,07,008000,1,20,17
0044253,47,12,036000,2,37,01
0044343,37,06,000000,1,70,01
0044343,37,09,000000,2,69,02
0044343,37,13,018000,1,45,03
0044379,47,10,027400,2,24,01
0044468,37,13,015000,2,30,01
0045618,37,13,024000,2,24,01
0045869,47,13,000000,1,46,01
0046044,01,13,036000,1,33,01
0046044,01,13,007800,2,31,02
0046044,01,01,,1,04,03
0046044,01,05,008000,2,24,12
0046044,01,09,000000,1,17,12
0046044,01,05,000000,2,15,12
0046813,37,08,000000,2,55,01
0046813,37,06,000000,2,17,08
0046903,47,13,080000,1,66,01
0046903,47,13,000000,2,75,02
0046970,37,09,000000,2,70,01
0047006,37,09,000000,1,58,01
0047006,37,01,000000,2,88,07
0047212,47,09,002000,1,36,22
0047651,47,09,035000,1,42,01
0047651,16,13,025000,2,38,02
0048367,01,02,009000,1,32,01
0048367,01,03,002300,2,33,02
0048367,01,02,,2,09,03
0048367,01,02,,2,05,03
0048367,01,01,,2,05,03
0049045,47,13,035000,2,42,01
0049510,01,01,011600,1,49,01
0049510,01,06,011700,2,50,02
0049510,01,05,001000,1,16,03
0049510,01,05,,1,14,03
0049510,01,02,,1,08,03
0050016,47,09,000000,2,82,01
0050342,47,08,343000,1,58,01
0050346,37,01,000000,2,87,01
0050479,37,09,000000,2,22,01
0050479,37,00,,2,00,03
0050602,47,09,000000,2,93,01
0051285,37,01,000000,2,69,22
0051491,47,13,032000,1,20,01
0051491,37,13,021000,1,25,18
0051491,47,14,031000,1,20,18
0051560,47,13,085000,2,35,01
0051638,37,04,000000,1,83,01
0051638,37,03,000000,2,80,02
0051638,37,13,025000,2,24,08
0051828,47,15,096000,2,30,01
0051828,47,15,053000,1,31,02
0051898,47,09,031000,1,31,01
0052853,38,09,020000,2,71,01
0052853,37,09,000000,1,60,02
0052853,38,09,035000,2,42,03
0052853,37,11,028000,2,25,03
0053240,20,14,343000,1,29,01
0053240,20,09,000000,1,15,06
0053240,20,03,,2,12,06
0053240,20,09,029000,2,51,07
0053240,20,01,000000,2,93,14
0053343,37,11,000000,1,73,01
0053343,37,09,019700,2,60,02
0053343,37,09,000000,1,39,03
0053343,37,11,032000,1,38,03
0053343,37,14,032400,2,28,03
0053343,37,04,,1,14,08
0053787,47,14,023000,1,26,01
0054006,37,09,031100,1,60,01
0054006,37,09,000000,1,62,06
0054006,37,09,063000,1,53,06
0054006,37,09,000000,2,78,16
0055545,37,13,002000,2,23,23
0055612,47,13,022500,2,22,01
0055612,47,14,040000,2,27,18
0055612,47,13,032000,2,26,18
0056513,47,03,000000,1,51,23
0056977,47,13,011000,1,29,01
0056977,47,13,017000,1,26,06
0056977,47,13,015000,1,27,18
0057064,47,14,000000,1,27,01
0057657,37,04,000000,2,71,01
0057657,37,11,000000,1,49,03
0057657,37,08,000000,1,44,03
0057657,37,07,008000,2,39,03
0057714,47,11,002000,2,22,23
0057785,01,05,026000,1,33,01
0057785,01,05,000000,2,29,02
0057785,01,02,,1,10,03
0057785,01,02,,1,08,03
0057785,01,02,,2,07,03
0057785,01,02,,2,06,03
0057785,01,01,,2,04,03
0057785,01,01,,1,03,03
0057785,01,00,,2,01,03
0057867,47,14,048000,2,30,01
0058073,37,04,000000,2,78,01
0058384,37,08,000000,1,44,01
0058384,37,07,000000,2,75,07
0058384,37,02,,2,06,08
0058450,37,01,000000,1,64,01
0058450,37,09,000000,2,52,02
0058450,37,09,006900,2,31,05
0058450,37,02,,1,10,08
0058450,37,02,,2,10,08
0058450,37,02,,1,06,08
0059480,37,09,000000,1,28,01
0059480,37,09,018000,1,35,16
0059480,37,09,009800,1,24,16
0059510,47,13,064000,1,46,01
0059510,47,13,000400,2,50,02
0059787,20,13,012000,1,65,01
0059787,20,13,021300,2,36,02
0059821,37,15,075000,2,43,01
0059821,37,11,060000,1,48,02
0060055,37,09,025000,2,30,01
0060055,37,03,,2,11,03
0060055,37,02,,2,07,03
0060055,37,00,,2,01,03
0060089,37,08,000000,2,87,01
0060383,37,11,072000,2,53,01
0060383,37,09,000000,1,45,02
0060383,37,07,000000,2,18,03
0060450,01,13,027000,1,44,01
0060450,47,13,027000,1,30,19
0060711,47,13,030000,2,31,01
0060711,47,09,000000,2,21,18
0061027,47,14,060000,2,66,01
0061477,37,09,000000,1,77,01
0061691,37,13,010000,1,23,23
0061801,37,11,003000,1,35,01
0062300,37,08,016000,1,60,01
0062300,37,09,038000,2,56,02
0062300,37,10,019800,2,24,03
0062300,37,08,000000,1,58,12
0062300,37,10,008000,1,32,16
0062300,37,07,000000,1,50,21
0062316,37,09,009000,2,53,01
0062316,37,06,002400,2,18,03
0062316,37,02,,1,12,08
0062316,37,00,,1,02,08
0062331,37,09,000000,2,73,01
0062331,37,05,000000,1,51,06
0063015,37,08,000000,2,34,01
0063015,37,02,,1,06,03
0063015,37,01,,1,04,03
0063510,47,13,000000,2,37,01
0064310,37,13,000000,2,86,01
0064310,37,11,000000,1,55,03
0064538,47,13,047500,2,30,01
0064538,47,13,033000,1,38,02
0066631,37,09,018800,2,22,01
0066631,37,02,,2,06,03
0066631,37,02,,1,04,05
0066703,37,09,002400,1,59,22
0066869,48,01,018200,1,31,01
0066869,48,01,000000,2,31,02
0066869,48,03,,1,11,03
0066869,48,02,,2,08,03
0066869,48,00,,2,01,03
0066869,48,09,030700,2,29,06
0066901,37,14,000000,2,77,01
0067276,47,13,023700,1,25,01
0067375,47,13,035000,1,51,01
0067519,47,11,000000,1,38,01
0067527,37,05,000000,2,93,01
0067733,11,09,009000,2,19,23
0067831,47,12,045000,1,49,01
0067831,47,12,056000,2,46,02
0067831,47,02,,2,10,03
0067831,47,14,025000,1,47,17
0067906,37,12,014300,2,34,01
0067906,37,06,000000,2,16,03
0067906,37,02,,1,05,03
0067906,37,11,000000,1,40,21
0068114,01,04,006000,1,61,01
0068114,47,04,007000,2,57,02
0068114,01,03,010400,2,43,11
0068114,47,03,013000,1,42,12
0068114,01,09,000000,2,37,13
0068114,01,07,000240,1,17,13
0068114,01,01,,2,05,13
0068114,01,01,,1,03,13
0068323,37,09,000000,2,79,01
0068323,37,10,044600,1,56,03
0068323,37,09,000000,2,53,10
0068455,37,11,000000,1,66,01
0068691,37,11,000060,2,20,23
0068903,37,14,046000,2,29,01
0069010,37,09,026000,2,40,01
0069010,37,07,001900,2,19,03
0069010,37,02,,2,09,03
0069010,37,01,,2,03,03
0069010,37,00,,1,02,08
0069136,37,08,000000,2,53,01
0069136,37,07,000000,1,31,03
0069136,37,01,000000,1,25,03
0069136,37,04,,2,14,03
0069136,37,02,,2,05,03
0069136,37,02,,2,05,08
0069556,37,09,012000,2,48,01
0069556,37,01,,2,06,08
0069556,37,00,,2,02,08
0069581,47,13,091000,1,35,01
0070055,37,13,107000,1,57,01
0070055,37,14,065000,2,52,02
0070055,37,07,000000,2,18,03
0070055,37,05,000000,2,16,03
0070205,47,10,043000,2,52,01
0070570,37,08,000000,2,20,01
0070570,37,01,,1,04,03
0070570,37,08,000150,2,22,16
0070570,37,01,,2,03,16
0070570,37,00,,2,02,16
0070611,37,09,000000,2,26,01
0070611,37,02,,1,10,03
0070611,37,02,,2,08,03
0070611,37,02,,2,06,03
0070611,37,00,,1,02,03
0071546,37,09,030000,1,28,01
0071546,37,02,,2,06,03
0072174,37,12,032000,1,34,01
0072174,37,08,030000,2,31,02
0072486,70,08,006200,2,41,01
0072486,70,09,000000,1,20,03
0072486,70,06,000000,2,17,03
0072486,70,06,000000,2,17,03
0072486,70,00,,2,00,08
0072564,01,03,028900,1,48,01
0072564,01,05,011000,1,27,13
0072564,01,03,012000,1,46,19
0072765,37,14,050000,2,57,01
0072765,37,13,072000,1,53,18
0072820,37,13,040000,1,42,01
0072820,47,11,000000,2,35,18
0074224,47,13,000000,1,54,01
0074224,47,14,040000,2,55,02
0074224,47,03,,1,13,03
0074335,37,11,000000,1,40,01
0074616,37,07,000000,1,72,01
0074616,37,07,000000,2,66,02
0075239,37,13,035000,2,51,01
0075239,37,03,,1,12,04
0075276,47,11,009100,2,20,23
0075309,37,13,031000,1,53,01
0076030,47,14,133000,2,49,01
0076030,47,15,000000,1,46,02
0076034,37,06,000000,1,73,01
0076034,37,04,000000,1,46,11
0076083,37,09,020000,1,30,01
0076083,37,14,055000,2,27,02
0076083,37,00,,1,00,03
0076809,37,11,025200,1,26,01
0076809,37,13,025000,2,26,02
0077344,37,14,071000,1,37,01
0077344,37,13,000000,2,36,02
0077344,37,05,,2,13,03
0077344,37,02,,2,08,03
0077344,37,02,,1,06,03
0077344,37,00,,1,00,03
0077344,37,02,,2,04,04
0077607,37,09,019000,2,50,01
0077607,37,09,014600,2,24,03
0077607,37,03,,2,12,03
0077607,37,02,,1,06,08
0077607,37,02,,2,04,08
0078274,47,15,055000,1,35,01
0078274,47,15,052000,2,33,02
0078413,37,13,026000,1,44,01
0078711,37,10,050000,2,25,01
0078711,37,01,,2,08,03
0079249,47,12,029000,1,30,01
0079330,37,10,000000,2,19,23
0079680,37,07,000000,2,77,01
0080883,47,14,039900,1,30,01
0080883,37,15,068000,2,30,02
0082323,37,09,026000,2,53,01
0082323,37,11,031500,2,33,03
0082323,37,09,008000,1,21,03
0082323,37,00,,1,01,08
0082782,37,09,000000,2,88,01
0082782,37,09,000000,2,79,06
0084062,47,13,060000,2,55,01
0084185,37,02,000000,1,76,01
0084228,37,08,028000,2,52,01
0084228,37,01,000000,1,64,18
0084785,47,16,343000,2,49,01
0085371,37,07,080000,1,53,01
0085371,37,08,027400,2,39,02
0085371,37,03,,1,10,03
0085371,37,02,,2,05,03
0085433,37,09,025000,1,53,01
0085695,37,09,011500,2,30,01
0085695,37,01,,1,08,03
0085695,37,11,028800,2,53,07
0086262,38,13,009000,2,23,01
0086567,37,11,000000,2,36,01
0086567,37,05,000000,1,17,03
0086567,37,01,,1,07,03
0086694,37,09,031200,2,31,01
0086862,37,13,053000,2,31,01
0086862,37,11,060000,1,31,02
0086862,37,02,,1,05,03
0086862,37,00,,1,02,03
0087010,37,09,000000,2,77,01
0087010,37,09,000000,2,46,03
0087010,37,09,001200,1,32,04
0087010,37,06,,2,14,08
0087847,37,10,029000,2,26,01
0087847,37,08,024000,1,28,19
0088953,47,14,121000,1,58,01
0088953,10,13,000000,2,48,02
0089309,37,10,000000,1,44,01
0089565,37,11,000000,2,58,01
0089565,37,04,,2,13,08
0089565,37,03,,1,11,08
