serial_no,race,education,income,gender,age,relationship
0000015,47,07,000000,2,85,22
0000046,47,11,000000,2,19,01
0000046,37,10,005700,1,20,19
0000105,47,13,048000,1,48,01
0000105,47,12,000000,2,43,02
0000105,47,09,004500,1,18,03
0000105,47,05,000000,2,16,03
0000117,48,03,000000,2,78,01
0000127,47,07,014000,1,34,01
0000127,47,07,017200,2,32,02
0000127,47,04,,1,13,03
0000127,47,02,,1,10,03
0000134,47,14,095000,1,41,01
0000134,01,13,120000,2,42,19
0000141,37,09,026000,1,47,01
0000141,37,14,071000,2,48,02
0000141,37,05,000000,2,15,03
0000153,37,04,000000,1,64,22
0000195,47,13,036000,1,24,01
0000199,37,09,000000,2,64,01
0000199,37,09,000000,1,70,02
0000218,71,01,012400,1,55,01
0000218,71,01,000000,2,50,02
0000218,71,09,005000,2,19,03
0000218,71,06,000000,1,17,03
0000218,71,02,,1,09,03
0000218,71,01,,2,05,03
0000219,47,14,065000,1,48,01
0000219,47,13,017000,2,45,02
0000219,47,08,010500,2,18,03
0000246,47,07,000000,2,49,01
0000246,47,07,006500,1,24,03
0000246,47,09,015700,1,22,03
0000246,47,04,,1,14,08
0000287,47,11,045000,2,47,01
0000287,47,09,004300,1,19,04
0000353,47,11,125000,1,49,01
0000353,47,09,040000,2,48,02
0000353,47,04,,1,13,03
0000376,47,09,030000,1,32,01
0000376,47,09,006000,2,24,02
0000376,47,01,,2,03,03
0000385,47,11,040000,1,59,01
0000385,47,11,025000,2,52,02
0000385,47,09,025000,1,29,03
0000391,47,09,036800,1,39,01
0000391,47,11,013000,2,39,02
0000391,47,07,006000,2,17,03
0000391,47,04,000000,2,15,03
0000391,47,04,,2,13,03
0000401,47,04,000000,1,66,01
0000401,47,04,000000,2,64,02
0000410,37,09,000000,1,79,22
0000436,37,07,000000,2,63,01
0000451,47,12,021000,2,40,01
0000451,47,06,033000,1,38,18
0000465,47,09,000000,1,68,01
0000465,47,10,000000,2,67,02
0000483,47,04,000000,1,89,01
0000483,47,04,000000,2,80,02
0000486,47,13,000000,1,35,01
0000486,47,13,041000,2,35,02
0000497,47,04,000000,2,71,01
0000529,47,09,044600,2,30,01
0000574,47,07,000000,1,28,22
0000584,47,06,027000,1,61,01
0000584,47,10,006000,2,57,02
0000591,37,11,017400,2,26,01
0000591,37,01,,2,03,03
0000591,37,00,,1,01,03
0000602,47,09,044000,1,67,01
0000602,47,09,019400,2,64,02
0000615,47,13,000000,2,57,01
0000615,47,15,062000,1,59,02
0000652,47,06,036000,1,36,01
0000652,47,12,000000,2,35,02
0000652,47,01,,1,07,03
0000652,47,00,,1,01,03
0000653,47,11,051000,1,49,01
0000653,47,09,003000,2,51,02
0000655,47,12,060000,1,46,01
0000655,47,03,000000,2,53,02
0000655,47,09,001500,2,24,03
0000655,47,00,,2,01,08
