serial_no,race,education,income,gender,age,relationship
0000015,47,09,011400,2,25,01
0000015,47,01,,1,03,03
0000046,47,09,014000,1,47,01
0000046,47,12,000800,2,38,02
0000046,47,06,002000,1,17,05
0000046,47,04,000000,2,15,05
0000105,47,11,000000,1,61,01
0000105,47,09,000000,2,56,02
0000117,47,04,000000,2,83,01
0000127,47,09,035000,1,37,01
0000127,47,07,006200,2,35,02
0000127,47,02,,2,08,03
0000134,37,04,000000,1,83,01
0000134,37,08,000000,2,89,02
0000153,37,09,009200,1,24,22
0000195,47,16,046200,2,50,01
0000195,47,14,062000,2,51,19
0000199,47,12,069000,1,41,01
0000199,47,12,068000,2,37,02
0000199,47,09,018400,1,31,17
0000218,47,16,031100,1,57,01
0000218,47,13,044200,2,48,02
0000218,47,02,,2,11,03
0000218,47,09,010500,2,17,05
0000219,47,09,000000,1,34,01
0000219,47,09,000000,2,33,02
0000219,47,02,,1,09,03
0000219,47,02,,2,07,03
0000219,47,01,,1,03,03
0000219,47,00,,1,01,03
0000246,37,11,023000,2,26,01
0000246,37,13,017000,1,24,02
0000273,37,11,000960,1,21,23
0000287,47,09,035000,1,62,01
0000287,47,09,028000,2,56,02
0000322,47,12,023900,1,27,01
0000353,47,09,000000,1,80,01
0000353,47,09,003600,2,70,02
0000353,47,09,010000,1,41,03
0000376,47,06,028000,1,48,01
0000376,47,06,000000,2,48,02
0000376,47,01,007000,2,22,03
0000385,47,09,040800,1,53,01
0000385,47,10,015800,2,51,02
0000391,47,09,051000,2,65,01
0000401,47,09,003000,1,67,22
0000410,47,12,034000,2,45,01
0000410,47,12,010000,2,22,03
0000423,47,09,006000,1,22,01
0000436,47,06,000000,2,75,01
0000465,47,11,080000,1,59,01
0000483,37,11,004000,2,22,23
0000486,47,09,000000,1,77,01
0000486,47,07,015100,2,66,02
0000497,47,12,023000,1,25,01
0000497,47,12,015000,2,24,02
0000529,47,11,000000,1,79,01
0000529,47,12,000000,2,76,02
0000574,47,10,001900,2,18,23
0000584,47,09,038000,1,36,01
0000584,47,09,000000,2,27,02
0000584,47,02,,2,05,03
0000584,47,00,,1,02,03
0000591,47,11,003900,1,20,23
0000602,37,08,038000,1,59,01
0000602,37,06,006500,2,51,02
0000602,37,11,040000,2,47,17
0000609,47,13,007100,1,71,01
0000609,47,09,002300,2,62,02
0000615,47,09,000000,2,87,01
0000652,47,09,030000,1,62,01
0000652,47,09,000000,2,60,02
0000653,47,11,140000,1,38,01
0000653,47,12,000000,2,42,02
0000653,47,06,002000,2,17,03
0000653,47,02,,1,07,03
0000653,47,01,,2,06,03
0000718,47,10,000000,2,75,01
0000764,47,03,000000,1,61,01
0000764,47,07,019000,2,60,02
0000781,47,09,000000,2,83,22
0000797,47,11,012600,1,62,01
0000797,47,11,000000,2,63,02
0000802,47,11,000000,1,18,01
0000802,47,11,000000,1,20,18
0000863,47,12,000000,1,47,01
0000883,37,09,028800,1,50,01
0000883,37,09,000000,2,50,02
0000944,47,09,049400,1,31,01
0000944,47,10,000000,2,27,02
0000949,47,09,000000,2,47,01
0000950,47,09,038000,1,60,01
0000950,47,09,032000,2,56,19
0000968,47,06,000000,2,67,01
0000968,47,06,000000,2,36,03
0000988,47,09,038000,1,54,01
0000988,47,06,000850,2,45,02
0000989,47,11,000000,1,46,01
0000989,47,09,000000,2,44,02
0000989,47,09,000000,1,19,03
0000989,47,07,000000,1,26,05
0001014,47,10,001500,2,36,01
0001014,47,11,055000,1,39,02
0001014,47,05,000000,2,16,03
0001014,47,03,,2,10,03
0001033,47,10,000000,2,81,01
0001070,47,13,028000,2,25,01
0001070,47,12,018000,1,23,02
0001086,47,12,026400,1,30,01
0001086,47,13,014800,2,24,19
0001102,47,11,003000,2,25,01
0001102,47,09,037000,1,26,02
0001102,47,02,,1,04,03
0001102,47,00,,1,02,03
0001184,47,09,000000,1,77,01
0001184,47,09,000000,2,78,02
0001193,47,12,025000,1,45,01
0001208,47,13,046000,1,37,01
0001208,47,09,000000,2,32,02
0001217,47,09,000000,2,71,01
0001231,47,10,060000,1,33,01
0001263,47,11,052000,2,35,01
0001281,47,13,054000,1,45,01
0001281,47,13,067000,2,39,02
0001281,47,02,,1,08,03
0001281,47,02,,2,06,03
0001289,47,11,038000,1,34,01
0001289,47,09,044200,2,32,02
0001289,47,02,,1,06,03
0001289,47,01,,2,03,03
0001324,47,13,000000,1,70,01
0001324,47,12,000000,2,66,02
0001326,47,09,000000,1,82,01
0001326,47,08,000000,2,76,02
0001350,47,07,000000,2,57,01
0001404,47,09,045500,1,46,01
0001404,47,09,000000,2,44,02
0001404,47,03,,1,14,03
0001427,47,09,050000,1,36,01
0001427,47,12,030000,2,33,02
0001427,47,03,,1,12,03
0001427,47,02,,1,10,03
0001427,47,02,,2,08,03
0001531,47,09,007000,2,19,01
0001531,47,11,005300,2,22,18
0001531,32,11,016000,1,22,18
0001566,47,10,003500,1,18,23
0001611,47,09,000000,2,23,01
0001643,47,12,045000,1,52,01
0001643,47,09,013700,2,52,02
0001643,47,06,003200,2,18,03
0001665,47,04,000000,1,80,01
0001665,47,04,000000,2,82,02
0001668,47,14,030000,1,72,01
0001668,47,11,000000,2,76,02
0001680,47,12,038000,1,46,01
0001680,47,10,035000,2,48,02
0001727,47,11,003500,2,55,01
0001727,47,09,000000,1,60,02
0001743,47,16,034100,1,53,01
0001743,47,13,013500,2,53,02
0001763,47,09,000000,2,72,01
0001809,47,09,000000,1,70,01
0001809,47,09,000000,2,76,02
0001814,47,13,060000,1,52,01
0001814,47,10,040000,2,49,02
0001814,47,03,,1,13,03
0001826,47,13,036000,1,34,01
0001826,47,11,000000,2,33,02
0001826,47,02,,1,05,03
0001826,47,02,,2,03,03
0001826,47,00,,2,01,03
0001843,47,06,021000,1,41,01
0001843,47,05,029000,2,42,02
0001843,47,09,001400,1,21,03
0001843,47,09,012000,1,19,03
0001854,38,09,009000,1,53,23
0001872,47,09,057000,1,48,01
0001872,47,07,026100,2,47,02
0001884,47,09,040000,1,23,01
0001884,47,09,018000,2,25,02
0001889,37,04,051000,2,53,01
0001889,37,11,019900,1,29,03
0001906,37,09,027000,2,49,01
0001906,37,10,029500,1,45,02
0001906,37,06,000000,2,17,03
0001923,47,07,000700,2,24,01
0001923,47,00,,2,02,03
0001923,47,00,,1,00,03
