serial_no,race,education,income,gender,age,relationship
0000105,66,11,028000,1,54,01
0000117,47,09,018300,1,46,01
0000117,47,09,010500,2,47,02
0000127,47,06,000000,1,72,01
0000127,47,09,013000,2,66,02
0000141,37,15,062000,2,35,01
0000195,47,02,000000,1,75,01
0000218,47,11,060000,1,36,01
0000218,47,10,000000,2,32,02
0000218,47,02,,1,11,05
0000218,47,01,,1,09,05
0000322,47,09,010000,2,26,01
0000322,47,02,,1,05,03
0000376,47,13,053000,2,37,01
0000385,37,13,014000,2,34,01
0000385,37,02,,1,08,03
0000391,37,04,011400,2,55,01
0000391,37,05,000000,1,15,03
0000391,37,05,000000,1,15,13
0000410,47,10,000000,2,18,23
0000436,47,15,025000,1,61,01
0000436,47,12,000000,2,60,02
0000465,47,12,020000,2,51,01
0000465,47,12,020000,1,54,18
0000483,47,11,000000,1,63,01
0000483,47,09,033600,2,58,02
0000486,47,09,035000,1,57,01
0000486,47,12,000000,2,57,02
0000574,47,06,010600,1,40,01
0000574,47,06,002400,2,38,02
0000574,47,02,,2,09,03
0000584,28,13,006800,1,67,01
0000584,28,13,012800,2,62,02
0000591,47,11,008400,1,63,01
0000591,47,11,000000,2,59,02
0000609,47,05,000000,1,44,01
0000609,47,11,000000,2,27,02
0000609,47,01,,1,03,03
0000609,47,00,,1,01,03
0000609,47,02,,1,08,04
0000609,47,02,,2,05,04
0000718,47,14,076000,1,43,01
0000718,47,13,015000,2,42,02
0000718,47,02,,2,08,03
0000740,47,04,027300,1,37,01
0000740,47,09,000000,2,35,02
0000740,47,02,,1,07,03
0000740,47,02,,2,05,03
0000764,37,12,027000,1,40,01
0000764,37,12,028300,2,34,02
0000764,37,02,,1,08,03
0000764,37,09,006500,2,19,04
0000764,37,00,,2,02,13
0000786,47,13,083000,1,54,01
0000786,47,13,065000,2,48,02
0000797,37,07,011300,2,30,01
0000797,37,02,,2,12,03
0000797,37,02,,1,11,03
0000797,37,02,,1,08,03
0000797,37,01,,2,07,03
0000802,47,15,000000,2,43,01
0000802,47,15,050000,1,47,02
0000802,20,01,,2,03,03
0000802,47,09,000000,2,83,09
0000863,47,09,026900,1,36,01
0000863,47,09,016500,2,37,02
0000863,47,02,,2,07,03
0000863,47,00,,2,01,03
0000883,47,09,024000,2,22,01
0000944,47,06,003400,1,34,22
0000968,47,09,042000,1,49,01
0000989,47,04,000000,2,93,22
0001014,47,10,000000,2,93,01
0001070,47,11,048000,1,41,01
0001070,47,07,008000,2,42,02
0001086,47,09,000000,1,72,01
0001086,47,09,000000,2,63,02
0001102,47,12,043500,1,35,01
0001102,47,11,032500,2,35,02
0001102,47,02,,2,08,03
0001102,47,00,,2,01,03
0001150,37,06,000000,2,55,01
0001150,37,03,000000,1,37,03
0001150,37,08,000000,1,29,03
0001150,37,04,000000,1,15,03
0001150,37,02,,1,07,04
0001184,47,15,035000,1,30,01
0001184,47,15,055000,2,30,02
0001193,47,03,000000,1,65,01
0001193,47,09,009200,2,66,02
0001208,47,03,000000,1,45,01
0001208,47,09,001200,2,20,03
0001208,47,00,,1,01,08
0001208,47,00,,1,00,08
0001208,47,09,015200,1,26,21
0001217,47,13,067000,1,57,01
0001217,47,13,005300,2,50,02
0001263,47,14,039000,1,62,01
0001263,47,05,000000,2,54,02
0001281,37,06,055000,2,29,01
0001281,37,02,,2,10,03
0001324,28,13,000000,1,50,01
0001324,28,11,000000,2,45,02
0001324,28,13,014500,2,25,03
0001326,47,09,013000,1,21,23
0001350,47,11,030600,1,43,01
0001350,47,11,034500,2,38,02
0001350,47,04,,1,13,03
0001350,47,03,,1,11,03
0001350,47,02,,2,08,03
0001427,01,09,036000,1,41,01
0001427,01,08,028000,2,40,02
0001427,01,04,,2,14,03
0001531,15,10,018000,2,22,01
0001531,37,09,021000,1,24,02
0001531,43,00,,2,02,03
0001611,66,11,003000,1,20,23
0001643,47,07,000000,2,72,01
0001665,37,11,028800,2,26,01
0001668,47,09,000000,1,70,01
0001668,47,04,000000,2,72,02
0001814,47,01,000500,2,71,01
0001854,47,09,000000,2,74,01
0001884,47,10,025000,1,26,23
0001889,47,14,001500,2,83,01
0001906,37,09,010000,1,40,01
0001906,68,01,,2,09,03
0001906,68,01,,2,07,03
0002046,47,14,096000,1,57,01
0002046,47,13,000000,2,53,02
0002069,47,11,001000,1,26,23
0002089,47,10,042000,2,45,01
0002312,47,05,032000,1,46,01
0002312,47,07,005000,2,35,02
0002312,47,07,001200,2,17,03
0002312,47,06,000000,2,15,03
0002312,47,04,,1,14,03
0002312,47,04,,1,13,03
0002312,47,03,,2,12,03
0002318,47,10,055000,1,42,01
0002318,47,09,020000,2,47,02
0002318,47,09,020000,1,20,04
0002409,37,09,000000,2,66,01
0002412,47,09,013000,2,27,01
0002412,37,09,006000,1,32,02
0002412,01,02,,1,06,03
0002421,47,12,017100,1,24,01
0002446,47,03,000000,1,70,01
0002446,47,04,000000,2,64,02
0002473,47,04,002300,1,81,01
0002473,47,09,000000,2,71,02
0002473,47,09,000000,2,49,03
0002502,47,11,002500,1,20,01
0002502,47,11,000000,1,20,18
0002502,47,11,000000,1,20,18
0002502,47,11,003000,1,20,18
0002518,32,11,050000,1,53,01
0002518,66,09,020000,2,47,02
0002518,66,09,017000,1,22,03
0002547,47,04,000000,2,85,01
